seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,wbc,copod,empirical,106,56,106,56,53,3,0.054,0.0,0.0
1,wbc,copod,probabilistic,106,56,106,56,53,3,0.054,0.0,0.333
1,wbc,copod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
1,wbc,copod,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.333
2,wbc,ecod,empirical,106,56,106,56,53,3,0.054,0.0,0.0
2,wbc,ecod,probabilistic,106,56,106,56,53,3,0.054,0.0,0.333
2,wbc,ecod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
2,wbc,ecod,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.333
3,wbc,hbos,empirical,106,56,106,56,53,3,0.054,0.0,0.0
3,wbc,hbos,probabilistic,106,56,106,56,53,3,0.054,0.333,0.667
3,wbc,hbos,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
3,wbc,hbos,probabilistic_weighted,106,56,106,56,53,3,0.054,0.333,0.667
4,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
4,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,0.0
4,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
4,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.0
5,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
5,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,0.333
5,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
5,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.0
6,wbc,copod,empirical,106,56,106,56,53,3,0.054,0.0,0.0
6,wbc,copod,probabilistic,106,56,106,56,53,3,0.054,0.4,1.0
6,wbc,copod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
6,wbc,copod,probabilistic_weighted,106,56,106,56,53,3,0.054,0.25,1.0
7,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
7,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,0.0
7,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
7,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.0
8,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
8,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,0.333
8,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
8,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.333
9,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
9,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,0.667
9,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
9,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.0
10,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
10,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.25,1.0
10,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
10,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.25,1.0
11,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
11,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,0.0
11,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
11,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.0
12,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
12,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,0.0
12,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
12,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.0
13,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
13,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,1.0
13,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
13,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.667
14,wbc,ecod,empirical,106,56,106,56,53,3,0.054,0.0,0.0
14,wbc,ecod,probabilistic,106,56,106,56,53,3,0.054,0.0,0.333
14,wbc,ecod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
14,wbc,ecod,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.333
15,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
15,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.333,0.667
15,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
15,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.5,0.333
16,wbc,iforest,empirical,106,56,106,56,53,3,0.054,0.0,0.0
16,wbc,iforest,probabilistic,106,56,106,56,53,3,0.054,0.0,1.0
16,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
16,wbc,iforest,probabilistic_weighted,106,56,106,56,53,3,0.054,0.0,0.333
17,wbc,copod,empirical,106,56,106,56,53,3,0.054,0.0,0.0
17,wbc,copod,probabilistic,106,56,106,56,53,3,0.054,0.0,0.333
17,wbc,copod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
